title	director	cast	country	rating	listed_in	description	show_id	release_year	date_added	duration
Anohana: The Flower We Saw That Day		Miyu Irino, Ai Kayano, Haruka Tomatsu, Takahiro Sakurai, Saori Hayami, Takayuki Kondo, Mitsuru Ogata, Mutsumi Tamura, Asami Seto, Aki Toyosaki, Kaoru Mizuhara, Yui Makino	Japan	TV-PG	Anime Series, International TV Shows, Teen TV Shows	A teen haunted by the spirit of an old friend summons the other members of their childhood club to help fulfill the girl's final wish.	80075178	2011		1
God Eater		Ryuichi Kijima, Hiroaki Hirata, Kazuya Nakai, Sayaka Ohara, Daisuke Sakaguchi, Maaya Sakamoto	Japan	TV-MA	Anime Series, International TV Shows	An enemy immune to conventional arms has caused the collapse of civilization and humanity's only hope lies in a new living weapon: the God Arc.	80145805	2015		1
GRANBLUE FANTASY the Animation		Yuki Ono, Nao Toyama, Rie Kugimiya, Miyuki Sawashiro, Hiroaki Hirata, Yukari Tamura, Kazuhiro Yamaji, Rie Tanaka, Emiri Kato, Tomokazu Sugita, Kanae Ito	Japan	TV-14	Anime Series, International TV Shows	In a world where islands float in the sky, Gran encounters a mysterious girl wanted by the Erste Empire for her ability to summon Primal Beasts.	80214010	2017		1
Grizzy et les Lemmings		Pierre-Alain de Garrigues, Josselin Charier	France	TV-Y7	Kids' TV, TV Comedies	Strong, whip-smart Grizzy rules a Canadian forest, where he has his paws full with a family of frolicsome lemmings.	81154166	2017		1
Blood & Treasures		Nawat Kulrattanarak, Woranuch Wongsawan, Jespipat Tilapornputt, Paramej Noiam, Phutharit Prombandal		TV-14	International TV Shows, TV Dramas, TV Sci-Fi & Fantasy	Condemned by a centuries-old vow to protect her kingdom's treasures, an embittered spirit returns to seek justice against the man who wronged her.	80244246	2016		1
Meteor Garden		Shen Yue, Dylan Wang, Darren Chen, Connor Liang, Caesar Wu	China	TV-PG	International TV Shows, Romantic TV Shows, TV Dramas	Dong Shancai is determined to excel at her dream university, where she encounters an elite clique of dashing, popular high-achievers – and finds love.	81005504	2018		1
Magi: Adventure of Sinbad		Daisuke Ono, Tomokazu Sugita, Takahiro Sakurai, Keiji Fujiwara, Akira Ishida, Katsuyuki Konishi, Yoko Hikasa, Ai Kayano, Takehito Koyasu, Hiroki Touchi	Japan	TV-14	Anime Series, International TV Shows	The Magi who became High King of the Seven Seas started as a boy determined to make the world a better place. He begins with a dangerous dungeon.	80103331	2016		1
Fatal Destiny		Arucha Tosawat, Nappon Gomarachun, Phakin Khamwilaisak, Ratchawin Wongviriya, Penpak Sirikul, Saksit Tangtong		TV-14	Crime TV Shows, International TV Shows, TV Action & Adventure	A young man from a humble family is drawn into a life of crime – and soon confronts a determined cop in hot pursuit.	80244363	2016		1
Transformers Prime		Peter Cullen, Sumalee Montano, Frank Welker, Jeffrey Combs, Kevin Michael Richardson, Tania Gunadi, Josh Keaton, Steve Blum, Andy Pessoa, Ernie Hudson, Daran Norris, Will Friedle	United States	TV-Y7-FV	Kids' TV	With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.	70234439	2013		1
Transformers: Robots in Disguise		Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen	United States	TV-Y7	Kids' TV	When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind.	80058654	2016		1
Apaches		Alberto Ammann, Eloy Azorín, Verónica Echegui, Lucía Jiménez, Claudia Traisac	Spain	TV-MA	Crime TV Shows, International TV Shows, Spanish-Language TV Shows	A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.	80163890	2016		1
Fire Chasers			United States	TV-MA	Docuseries, Science & Nature TV	As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.	80117902	2017		1
Castle of Stars		Chaiyapol Pupart, Jintanutda Lummakanon, Worrawech Danuwong, Ornjira Lamwilai, Yong Armchair, Keerati Mahapreukpong, Akarat Nimitchai, Kornpassorn Duaysianklao, Nattapong Chartpong		TV-14	International TV Shows, Romantic TV Shows, TV Comedies	As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life.	80244601	2015		1
First and Last				TV-MA	Docuseries	Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.	80190843	2018		1
Archibald's Next Big Thing		Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane, Adam Pally, Kari Wahlgren		TV-Y7	Kids' TV, TV Comedies	Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!	80221550	2019		1
The Spy		Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem, Alexander Siddig, Waleed Zuaiter, Nassim Lyes	France	TV-MA	International TV Shows, TV Dramas, TV Thrillers	In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad.	80178151	2019		1
No Tomorrow		Joshua Sasse, Tori Anderson, Jonathan Langdon, Sarayu Blue, Jesse Rath, Amy Pietz	United States	TV-14	Romantic TV Shows, TV Comedies, TV Dramas	Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot.	80113482	2016		1
Frequency		Peyton List, Riley Smith, Mekhi Phifer, Devin Kelley, Lenny Jacobson, Daniel Bonjour, Anthony Ruivivar	United States	TV-14	Crime TV Shows, TV Dramas, TV Mysteries	A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp.	80113641	2016		1
Adam Ruins Everything		Adam Conover, Adam Lustick, Emily Axford	United States	TV-14	TV Comedies	Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.	80996949	2018		1
Ben 10		Tara Strong, Montse Hernandez, David Kaye, Roger Craig Smith, Todd Haberkorn, Dwight Schultz, Daryl Sabara	United States	TV-Y7	Kids' TV	Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.	80239337	2016		1
Christiane Amanpour: Sex & Love Around the World			United States	TV-MA	Docuseries	A contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. CNN's Christiane Amanpour reports.	81011682	2018		1
The Eighties			United States	TV-PG	Docuseries	This nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today.	80128317	2016		1
The Nineties			United States	TV-14	Docuseries	This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks.	81027384	2017		1
The Seventies			United States	TV-PG	Docuseries	This series examines 1970s America, focusing on the major political and historical landmarks of the decade and the cultural response to those events.	80030186	2015		1
We Bare Bears		Eric Edelstein, Demetri Martin, Bobby Moynihan	United States	TV-Y7	Kids' TV, TV Comedies	Grizzly, Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world.	80116921	2017		1
The Royal House of Windsor			United Kingdom	TV-14	British TV Shows, Docuseries, International TV Shows	Drawing on newly available info, this show traces how the British royal family has survived the last 100 years of power struggles, politics and more.	80181555	2017		1
Lovesick		Kongyingyong Chonlathorn, Phumphothingam Nawat, Luangsodsai Anupart, Nuchanart Veerakaarn, Chindavanich Primrose, Charnmanoon Pannin, Nungira Hanwutinanon, Ausavaterakul Ausavapat, Sirikiet Saejea, Nontapan Chuenwarin		TV-14	International TV Shows, Romantic TV Shows, TV Dramas	Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.	80184358	2014		1
Mak Cun		Erma Fatima, Rahim Razali, Umie Aida, Nora Danish		TV-PG	International TV Shows, TV Comedies, TV Dramas	A woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.	80163293	2015		1
Paul Hollywood's Big Continental Road Trip		Paul Hollywood	United Kingdom		British TV Shows, Docuseries, International TV Shows	Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany.	80199032	2017		1
Satu Hari		Sara Ali, Remy Ishak, Rita Rudaini, Mirza Salihovic, Hafizul Kamal, Miller Khan		TV-14	International TV Shows, TV Dramas	A man haunted by his wife's affair moves to Sarajevo and starts to love again, until fate forces him to choose between his new life and old loyalty.	80180449	2014		1
Made in Mexico			United States	TV-MA	International TV Shows, Reality TV, Spanish-Language TV Shows	These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles.	80201933	2018		1
Bard of Blood		Emraan Hashmi, Viineet Kumar, Sobhita Dhulipala, Jaideep Ahlawat, Kirti Kulhari, Sohum Shah, Rajit Kapoor, Danish Hussain	India	TV-MA	International TV Shows, TV Action & Adventure, TV Dramas	Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission.	80225885	2019		1
Dragons: Rescue Riders		Nicolas Cantu, Brennley Brown, Zach Callison, Skai Jackson, Noah Kaye Bentley, Andre Robinson, Marsai Martin		TV-Y	Kids' TV, TV Comedies	Twins Dak and Leyla and their dragon friends devote their lives to rescuing others, defending their home of Huttsgalor and having fun along the way.	80218107	2019		1
Skylines		Edin Hasanovic, Peri Baumeister, Murathan Muslu, Erdal Yıldız, Richy Müller, Anna Herrmann, Sahin Eryilmaz, Lisa Maria Potthoff, Carol Schuler, Dustin Jérôme Schanz, Nimo, Christopher Schärf, Slavko Popadic		TV-MA	Crime TV Shows, International TV Shows, TV Dramas	A hip-hop producer gets hurled into the violent world of organized crime when the record label he signs to becomes the center of a deadly drug business.	80220715	2019		1
The Politician		Ben Platt, Gwyneth Paltrow, Jessica Lange, Zoey Deutch, Lucy Boynton, Bob Balaban, David Corenswet, Julia Schlaepfer, Laura Dreyfuss, Theo Germaine, Rahne Jones, Benjamin Barrett	United States	TV-14	TV Comedies, TV Dramas, Teen TV Shows	Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school.	80241248	2019		1
The Inmate		Ignacio Serricchio, Ana Claudia Talancón, Flavio Medina, Luis Felipe Tovar, Mariana Seoane, Guy Ecker, Isabella Castillo, Bradley Stryker, Gustavo Sánchez Parra, Leonardo Ortizgris, Alejandro Calva, Rodrigo Oviedo, Ramón Medína, Erik Hayser, Tiaré Scanda	Mexico	TV-MA	Crime TV Shows, International TV Shows, Spanish-Language TV Shows	A former Marine poses as an inmate inside a Mexican prison in order to infiltrate a gang suspected of kidnapping a U.S. judge's teen daughter.	81025403	2018		1
Team Kaylie		Bryana Salaz, Alison Fernandez, Symera Jackson, Elie Samouhi, Kai Calhoun, Eliza Pryor, Rosa Blasi, Nicole Sullivan, David Gridley		TV-PG	Kids' TV, TV Comedies	After a brush with the law, teen celebrity Kaylie Konrad swaps social stardom for court-ordered chaos as a middle school wilderness club leader.	80238106	2019		1
BONDING		Zoe Levin, Brendan Scannell, Micah Stock, Theo Stockman, Alex Hurt, D'Arcy Carden, Gabrielle Ryan, Charles Gould	United States	TV-MA	TV Comedies, TV Dramas	A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.	81004814	2019		1
Vagabond		Lee Seung-gi, Bae Suzy, Shin Sung-rok, Moon Jung-hee, Baek Yoon-sik, Moon Sung-keun, Lee Gyoung-young, Lee Ki-young, Kim Min-jong, Jung Man-sik, Hwang Bo-ra	South Korea	TV-MA	International TV Shows, Korean TV Shows, TV Action & Adventure	When his nephew dies in a plane crash, stunt man Cha Dal-geon resolves to find out what happened, with the help of covert operative Go Hae-ri.	81095101	2019		1
Battlefish				TV-MA	Reality TV, Science & Nature TV, TV Action & Adventure	Over the course of a fishing season, tough men and women pursue lucrative albacore tuna in the competitive waters off the Oregon coast.	80195173	2018		1
DRAGON PILOT: Hisone & Masotan		Misaki Kuno, Tomoyo Kurosawa, Maki Kawase, Satomi Arai, Kaori Nazuka, Romi Park, Yuki Kaji, Yukitoshi Tokumoto, Rie Kugimiya, Junichi Suwabe, Jouji Nakata	Japan	TV-14	Anime Series, International TV Shows	Recently stationed Air Self-Defense Force rookie Hisone Amakasu is chosen by a dragon concealed within Gifu Air Base to be his pilot.	80241960	2018		1
Hilda		Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, Rasmus Hardiker	United Kingdom, Canada, United States	TV-Y7	Kids' TV	Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city.	80115346	2018		1
Maniac		Emma Stone, Jonah Hill, Justin Theroux, Sally Field, Gabriel Byrne, Sonoya Mizuno, Julia Garner, Billy Magnussen, Jemima Kirke	United States	TV-MA	TV Comedies, TV Dramas, TV Mysteries	Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.	80124522	2018		1
The Good Cop		Tony Danza, Josh Groban, Monica Barbaro, Isiah Whitlock Jr.	United States	TV-PG	Crime TV Shows, TV Comedies, TV Dramas	When he's not solving murders, a pathologically honest detective tries to keep an eye on his crooked but kindhearted dad.	80157073	2018		1
Criminal: France		Margot Bancilhon, Laurent Lucas, Stéphane Jobert, Anne Azoulay, Mhamed Arezki, Sara Giraudeau, Nathalie Baye, Jérémie Renier		TV-MA	Crime TV Shows, International TV Shows, TV Dramas	Secrets emerge and entire cases unravel inside a police interview room in Paris, where suspects and investigators face off in an intricate dance.	81020513	2019		1
Criminal: Germany		Eva Meckbach, Sylvester Groth, Florence Kasumba, Peter Kurth, Christian Berkel, Nina Hoss, Christian Kuchenbuch, Jonathan Berlin, Deniz Arora		TV-MA	Crime TV Shows, International TV Shows, TV Dramas	In the interview room, detectives go head-to-head with suspects and try to get to the truth – even if it means breaking the rules and risking it all.	81020518	2019		1
Criminal: Spain	Mariano Barroso	Emma Suárez, Jorge Bosch, Álvaro Cervantes, Carmen Machi, Inma Cuesta, Eduard Fernández, María Morales, José Ángel Egido, Daniel Chamorro, Javi Coll, Carlos Manuel Díaz, Nuria Mencía, Milo Taboada		TV-MA	Crime TV Shows, International TV Shows, Spanish-Language TV Shows	Psychological games abound between detectives and suspects in a tense interrogation room, where the search for answers sometimes comes at a moral cost.	81020523	2019		1
Criminal: UK		Katherine Kelly, Lee Ingleby, Mark Stanley, Rochenda Sandall, Shubham Saraf, Nicholas Pinnock, David Tennant, Hayley Atwell, Youssef Kerkour, Clare-Hope Ashitey, Isabella Laughland	United Kingdom, France, Germany, Spain	TV-MA	British TV Shows, Crime TV Shows, International TV Shows	Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime.	80216172	2019		1
Inside Bill's Brain: Decoding Bill Gates		Bill Gates	United States	TV-14	Docuseries, Science & Nature TV	Take a trip inside the mind of Bill Gates as the billionaire opens up about those who influenced him and the audacious goals he's still pursuing.	80184771	2019		1
The Hockey Girls	Kiko Cruz Claverol, Patricia Font	Iria del Río, Nora Navas, Josep Linuesa, Natàlia Barrientos, Dèlia Brufau, Yasmina Drissi Sales, Júlia Gibert, Mireia Oriol, Asia Ortega Leiva, Claudia Riera, Mireia Aixalà, Juli Fàbregas, Àgata Roca, Marc Clotet	Spain	TV-MA	International TV Shows, TV Comedies, TV Dramas	The passionate members of a girls' roller hockey team chase down victories in the rink while striving to make time for school, family and romance.	81000389	2019		1
Mobile Suit Gundam UC		Kouki Uchiyama, Ayumi Fujimura, Hiro Shimono, Haruka Tomatsu, Daisuke Namikawa, Megumi Toyoguchi, Yuhko Kaida, Shuichi Ikeda, Tetsuya Kakihara	Japan	TV-14	Anime Series, International TV Shows	When Banagher Links meets the mysterious Audrey Burne, he inherits the Unicorn Gundam and is swept up into the battle for space colony independence.	80189183	2014		1
Monkey Twins		Phakin Khamwilaisak, Sumret Muengput, Alisa Kunkwaeng, Zozeen Panyanut Jirarottanakasem, Akarat Nimitchai, Warawut Poyim, Vithaya Pansringarm, Phutharit Prombandal, Kazu Patrick Tang	Thailand	TV-MA	Crime TV Shows, International TV Shows, TV Action & Adventure	Inspired by Khon dance drama and Thai martial arts, a fighter scarred by the past joins forces with a determined cop to battle an organized crime ring.	80224294	2018		1
Chef's Table: France				TV-14	Docuseries	Sample the bold new flavors of France with chefs who are pushing the boundaries of fine dining and reinventing a rich culinary tradition.	80128096	2016		1
Kulipari: An Army of Frogs		Mark Hamill, Keith David, Wendie Malick, Josh Keaton, Mikey Kelley, Phil LaMarr, Laraine Newman, Jess Harnell, Charles Adler, Amy Margolis, Cree Summer, Lacey Chabert, Rolonda Watts, Kevin Michael Richardson, Candi Milo	United States	TV-Y7-FV	Kids' TV	In a tale of bravery and heroism, fearless frogs go to war against the sinister scorpions and spiders that have teamed up to conquer the amphibians.	80057610	2016		1
Transformers: Rescue Bots		Lacey Chabert, Elan Garfias, Maurice LaMarche, Jason Marsden, Shannon McKain, Steve Blum, Parvesh Cheena, D.C. Douglas, Imari Williams, LeVar Burton, Diamond White	Canada, United States	TV-Y7	Kids' TV	Follow the adventure of four young transformers, Heatwave, Chase, Blades and Boulder, and their human counterparts: a family of emergency responders.	70259208	2016		1
Manhunt		Sam Worthington, Paul Bettany, Chris Noth, Jeremy Bobb, Ben Weber, Lynn Collins, Brían F. O'Byrne, Keisha Castle-Hughes, Mark Duplass, Elizabeth Reaser, Diesel Madkins	United States	TV-14	Crime TV Shows, TV Dramas, TV Mysteries	Faced with few clues and an increasingly panicked public, the FBI calls on a new kind of profiler to help track down the infamous Unabomber.	80176878	2017		1
When the Camellia Blooms		Kong Hyo-jin, Kang Ha-neul, Kim Ji-seok, Oh Jung-se, Yeom Hye-ran, Son Dam-bi, Ji E-su, Go Du-sim	South Korea	TV-14	International TV Shows, Korean TV Shows, Romantic TV Shows	Dongbaek is a single mother. When a potential new love enters her life, she finds ways to defy the social stigmas surrounding her.	81144925	2019		1
Forget Me Not			United Kingdom	TV-MA	International TV Shows, TV Dramas	Teenage Xue Ming was forced to marry the man who raped her. Years after abandoning her young sons to find a better life, can she escape the guilt?	80136785	2011		1
The Beat		Henley Hii, Yise Loo, Aric Ho, Tiffany Leong, Issac Dang, Christy Yow		TV-PG	International TV Shows, TV Dramas	The artistic pursuits of two childhood friends, an aspiring singer and a talented dancer, lead them to four other 20-somethings in a drumming group.	80135278	2012		1
Timeless Season		Loo Aye Keng, Chen Ke Mei, Hady, Hishiko Woo, Jiang Pei Pei, Steve Yap		TV-14	International TV Shows, TV Dramas		80136452	2009		1
Ancient Aliens		Robert Clotworthy	United States	TV-PG	Docuseries, Science & Nature TV	Were ancient humans really behind some of the most important technological advances in civilized history, or did they have extraterrestrial help?	70178604	2010		1
The Last Kids on Earth		Nick Wolfhard, Charles Demers, Garland Whitt, Montse Hernandez, Brian Drummond, Giles Panton, Keith David	United States	TV-Y7-FV	Kids' TV, TV Comedies	When zombies and monsters invade his hometown, a scrappy 13-year-old orphan teams up with his friends in hopes of surviving the chaos.	80219119	2019		1
Click for Murder		Donal MacIntyre	United Kingdom	TV-14	British TV Shows, Crime TV Shows, Docuseries	Crime journalist Donal MacIntyre reveals how deadly the internet can be as he dissects the technological methods behind heinous acts.	80165072	2017		1
America's Book of Secrets		Jonathan Adams	United States	TV-14	Docuseries	This engaging documentary series shares the surprising backstories of familiar institutions like the Pentagon, West Point and the Playboy Mansion.	70251519	2014		1
Bakugan: Battle Planet		Jonah Wineberg, Deven Christian Mack, Margarita Valderrama, Ticoon Kim, Jason Deline, Will Bowes	Japan, Canada, South Korea	TV-PG	Anime Series, Kids' TV	Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.	81174992	2018		1
Cold Case Files			United States	TV-14	Crime TV Shows, Docuseries	Masterful detectives utilize forensic science and criminal psychology to re-examine long-standing cases.	81044365	2017		1
Pawn Stars		"Corey Harrison, Richard Harrison, Rick Harrison, Austin \"Chumlee\" Russell"	United States	TV-PG	Reality TV	Father Richard Harrison, son Rick and grandson Corey appraise an array of strange objects brought into their Gold & Silver Pawn Shop in Las Vegas.	70143865	2010		1
Surviving R. Kelly		R. Kelly	United States	TV-MA	Docuseries	In this documentary series on the tangled history of allegations against musician R. Kelly, women give detailed accounts of sexual and mental abuse.	81069393	2019		1
The Curse of Oak Island		Robert Clotworthy	United States	TV-PG	Docuseries	On an ominous island off of Nova Scotia, two brothers chase historical theories on a quest for enigmatic treasure.	80012550	2014		1
The Rap Game		Jermaine Dupri	United States	TV-14	Reality TV	Young lyricists between the ages of 12 and 16 compete for a chance to sign to Jermaine Dupri's label while being mentored by hip-hop and R&B's finest.	81176196	2016		1
The Universe		Erik Thompson	United States	TV-PG	Docuseries, Science & Nature TV	Discover the secrets of the universe in this series that pairs animation with insights on distant planets, black holes and other celestial marvels.	70143831	2009		1
Al Hayba		Taim Hasan, Nadine Nassib Njeim, Abdo Chahine, Oweiss Mkhallalati, Mona Wassef	Lebanon	TV-14	Crime TV Shows, International TV Shows, TV Dramas	In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love.	81003648	2017		1
Cabins in the Wild with Dick Strawbridge		Dick Strawbridge, William Hardie	United Kingdom	TV-PG	British TV Shows, International TV Shows, Reality TV	Engineer Dick Strawbridge and craftsman Will Hardie tour eight unique cabins built for a pop-up hotel in Wales, and construct No. 9 on their own.	80241102	2017		1
How to Live Mortgage Free with Sarah Beeny				TV-14	British TV Shows, International TV Shows, Reality TV	Real estate expert and TV presenter Sarah Beeny meets with clever property owners who share their colorful stories about living mortgage free.	80241103	2018		1
Inside The Freemasons			United Kingdom	TV-14	British TV Shows, Docuseries, International TV Shows	Explore the history and future of the Freemasons, a fraternal order steeped in both secrecy and tradition.	80240816	2017		1
The Five	Mark Tonderai	Tom Cullen, O.T. Fagbenle, Lee Ingleby, Sarah Solemani, Hannah Arterton, Geraldine James, Michael Maloney, Rade Serbedzija, Jonathan Kerrigan, Don Warrington, Sophia La Porta	United Kingdom	TV-MA	British TV Shows, Crime TV Shows, TV Dramas	Twenty years after 5-year-old Jesse disappears near his home, his DNA turns up at the scene of a woman's murder, baffling his family and the police.	80202129	2016		1
Wartime Portraits			Poland	TV-MA	Docuseries, International TV Shows	Part live-action and part animation, this visually inventive series offers striking portrayals of some of the unsung heroes of World War II.	80126566	2014		1
Behind the Newsroom		Pok Piyatida Woramusik, Willie Ruengrit McIntosh, Charebelle Lanlalin, Tono Pakin Kumwilaisuk, Point Cholawit Meetongcom, Cee Hathaiphat, Pitta Na Pattalung, Ae Sasikarn Aphichartworasilp, Louis Pongphan Petchbuntoon, Sawitree Samipak		TV-14	International TV Shows, Romantic TV Shows, TV Dramas	Confident and cool under pressure, top news presenter Punchalee meets her match in the conniving Dao, who'll stop at nothing to fulfill her ambitions.	80243899	2015		1
Boca Juniors Confidential				TV-PG	Docuseries, International TV Shows, Spanish-Language TV Shows	Players, fans and staff of soccer powerhouse Boca Juniors provide an exclusive, behind-the-scenes look at Argentina's legendary club.	80220035	2018		1
Car Masters: Rust to Riches		"Mark Towle, Shawn Pilot, Constance Nunes, Tony Quinones, Mike \"Caveman\" Pyle"		TV-PG	Reality TV	The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks.	80194704	2018		1
Norm Macdonald Has a Show			United States	TV-MA	Stand-Up Comedy & Talk Shows, TV Comedies	Comedian Norm Macdonald hosts his celebrity friends for casual conversations that range from silly to serious and take many unexpected turns.	80225949	2018		1
Super Monsters Monster Party		Elyse Maloway, Vincent Tong, Erin Matthews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Ian James Corlett, Britt McKillip, Kathleen Barr, Diana Kaarina		TV-Y	Kids' TV	Sing along and move to this groovy collection of music videos featuring monster friends Katya, Lobo, Zoe, Drac, Cleo and Frankie!	81002336	2018		1
The Rise of Phoenixes		Chen Kun, Ni Ni, Zhao Lixin, Ni Dahong, Yuan Hong, Wang Ou, Bai Jinting, Zhang Xiaochen, Mei Ting, Liu Mintao, Yu Mingjia, Hou Yansong, Hai Yitian, Shi An, Shao Tong	China	TV-14	International TV Shows, Romantic TV Shows, TV Action & Adventure	When a secret from the past rears its head, a respected court scholar must choose between avenging her family and staying true to the prince she loves.	80993613	2018		1
Kabaneri of the Iron Fortress: The Battle of Unato		Tasuku Hatanaka, Sayaka Senbongi, Maaya Uchida, Toshiki Masuda, Kanae Oki, Mariya Ise, Ryota Osaka, Kensuke Sato, Maxwell Powers, Shinichiro Miki		TV-MA	Anime Series, International TV Shows, TV Horror	Ikoma and the Iron Fortress take their fight to the battlegrounds of Unato, joining the alliance to reclaim the region from the kabane horde.	81095103	2019		1
Marianne		Victoire Du Bois, Lucie Boujenah, Tiphaine Daviot, Ralph Amoussou, Bellamine Abdelmalek, Mehdi Meskar, Alban Lenoir, Mireille Herbstmeyer, Corinne Valancogne, Patrick d'Assumçao, Pierre Aussedat	France	TV-MA	International TV Shows, TV Dramas, TV Horror	Lured back to her hometown, a famous horror writer discovers that the evil spirit who plagues her dreams is now wreaking havoc in the real world.	80217779	2019		1
Monarca		Irene Azuela, Juan Manuel Bernal, Osvaldo Benavides, Rosa María Bianchi, Antonio de la Vega, Luis Rábago, Sophie Gómez, James Hyde, Carla Adell, Regina Pavón, Dalí González, Alejandro de Hoyos Parera, José Manuel Rincón, Daniela Schmidt, Gabriela de la Garza	Mexico	TV-MA	International TV Shows, Spanish-Language TV Shows, TV Dramas	After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets.	80211572	2019		1
Top Boy		Ashley Walters, Kane Robinson, Micheal Ward, Shone Romulus, Simbiatu Ajikawo, Lisa Dwan, David Omoregie, Jasmine Jobson, Hope Ikpoku Jr., Araloyin Oshunremi, Keiyon Cook	United Kingdom	TV-MA	British TV Shows, Crime TV Shows, International TV Shows	Two seasoned drug dealers return to the gritty streets of London, but their pursuit of money and power is threatened by a young and ruthless hustler.	80217669	2019		1
Unbelievable		Toni Collette, Merritt Wever, Kaitlyn Dever, Dale Dickey, Scott Lawrence, Danielle Macdonald, Austin Hébert, Eric Lange, Elizabeth Marvel	United States	TV-MA	Crime TV Shows, TV Dramas	After a young woman is accused of lying about a rape, two female detectives investigate a spate of eerily similar attacks. Inspired by true events.	80153467	2019		1
The I-Land		Natalie Martinez, Kate Bosworth, Ronald Peet, Kyle Schmid, Alex Pettyfer, Sibylla Deen, Gilles Geary, Anthony Lee Medina, Kota Eberhardt, Michelle Veintimilla, Bruce McGill	United States	TV-MA	TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy	Wiped clean of memories and thrown together, a group of strangers fight to survive harsh realities – and the island that traps them.	80993062	2019		1
The Mind, Explained		Emma Stone	United States	TV-14	Docuseries, Science & Nature TV	Ever wonder what's happening inside your head? From dreaming to anxiety disorders, discover how your brain works with this illuminating series.	81098586	2019		1
Life		Lee Dong-wook, Cho Seung-woo, Won Jin-ah, Lee Kyu-hyung, Moon Sung-keun, Yoo Jae-myung, Moon So-ri, Chun Ho-jin	South Korea	TV-MA	International TV Shows, Korean TV Shows, TV Dramas	At Korea's top university medical center, ideals and interests collide between a patient-centered ER doctor and the hospital's newly-appointed CEO.	81011508	2018		1
Daniel Sloss: Live Shows		Daniel Sloss	United States	TV-MA	Stand-Up Comedy & Talk Shows, TV Comedies	Comedian Daniel Sloss is ready to find the funny in some very dark topics, from the deeply personal to the truly irreverent.	80223685	2018		1
If I were an Animal		Zachary Young, Fleur Delahunty		TV-Y	Docuseries, Kids' TV, Science & Nature TV	Curious kids Emma and her big brother Tim observe different animals as they make their way through various life milestones, from birth to adulthood.	80189586	2018		1
